disease,num_targets,avg_score,top_protein
neurodegenerative disease,125,0.418,Q9UBF8
neoplasm,104,0.346,O60674
cancer,62,0.416,P21802
neuroinflammatory disorder,48,0.314,Q16539
Alzheimer disease,40,0.387,Q00535
Parkinson disease,38,0.381,Q5S007
breast cancer,35,0.291,O96017
hepatocellular carcinoma,32,0.303,P08581
non-small cell lung carcinoma,30,0.464,P00533
multiple sclerosis,29,0.373,P30530
lysosomal storage disease,29,0.385,P53350
acute myeloid leukemia,28,0.415,P36888
genetic disorder,25,0.392,Q13627
Abnormality of the skeletal system,22,0.398,P08069
hypertension,22,0.374,P07332
type 2 diabetes mellitus,20,0.328,P06213
chronic myelogenous leukemia,16,0.57,P00519
cardiovascular disease,15,0.342,P07332
Intellectual disability,13,0.49,Q9UQM7
acute lymphoblastic leukemia,13,0.556,P00519
Mastocytosis,12,0.484,P10721
COVID-19,12,0.436,P29597
systemic mastocytosis,12,0.488,P10721
colorectal cancer,11,0.407,P15056
schizophrenia,11,0.279,P07332
mast-cell leukemia,11,0.471,P05129
diabetes mellitus,11,0.288,P06213
renal cell carcinoma,11,0.617,P08581
dengue disease,11,0.407,P30530
gastrointestinal stromal tumor,11,0.647,P10721
hypertrophic cardiomyopathy,10,0.511,Q9UGJ0
ulcerative colitis,9,0.377,O60674
rheumatoid arthritis,9,0.392,P29597
chronic lymphocytic leukemia,9,0.434,Q06187
prostate cancer,9,0.162,O96017
Noonan syndrome,9,0.64,P04049
obesity,9,0.235,O75582
essential hypertension,9,0.361,P07332
asthma,9,0.323,Q04759
atrial fibrillation,9,0.427,Q13557
hypothyroidism,9,0.345,Q16566
multiple myeloma,9,0.281,O14920
medullary thyroid gland carcinoma,9,0.571,P07949
alcohol drinking,9,0.282,O00141
acute myeloid leukemia by FAB classification,8,0.37,P24723
melanoma,8,0.37,P15056
type 1 diabetes mellitus,8,0.246,P06213
glioma,8,0.121,Q9Y243
smoking initiation,8,0.338,P08069
attention deficit hyperactivity disorder,8,0.161,O15264
coronary artery disease,8,0.338,P07332
colorectal carcinoma,8,0.081,P51955
ovarian neoplasm,8,0.252,Q16288
gastric cancer,8,0.234,P04626
lymphoid leukemia,8,0.392,P07948
Neurodevelopmental disorder,7,0.396,Q13557
Abruptio Placentae,7,0.221,Q5S007
prostate carcinoma,7,0.353,P11309
bipolar disorder,7,0.346,P49841
mathematical ability,7,0.348,P43403
breast carcinoma,7,0.565,O96017
systemic lupus erythematosus,7,0.452,P51451
gout,7,0.355,P53779
inflammatory bowel disease,7,0.287,P41279
glioblastoma multiforme,7,0.149,P00533
lung cancer,7,0.489,P00533
psoriasis,7,0.367,P29597
Global developmental delay,6,0.359,Q16566
metastatic colorectal cancer,6,0.548,P17948
polycythemia vera,6,0.464,O60674
myelofibrosis,6,0.595,O60674
severe acute respiratory syndrome,6,0.32,P49840
Crohn's disease,6,0.305,P29597
cutaneous Leishmaniasis,6,0.481,P43405
open-angle glaucoma,6,0.432,Q13464
triple-negative breast cancer,6,0.11,P49759
