disease,num_targets,avg_score
neurodegenerative disease,125,0.418
neoplasm,104,0.346
cancer,62,0.416
neuroinflammatory disorder,48,0.314
Alzheimer disease,40,0.387
Parkinson disease,38,0.381
breast cancer,35,0.291
hepatocellular carcinoma,32,0.303
non-small cell lung carcinoma,30,0.464
multiple sclerosis,29,0.373
lysosomal storage disease,29,0.385
acute myeloid leukemia,28,0.415
genetic disorder,25,0.392
Abnormality of the skeletal system,22,0.398
hypertension,22,0.374
type 2 diabetes mellitus,20,0.328
chronic myelogenous leukemia,16,0.57
cardiovascular disease,15,0.342
Intellectual disability,13,0.49
acute lymphoblastic leukemia,13,0.556
Mastocytosis,12,0.484
COVID-19,12,0.436
systemic mastocytosis,12,0.488
colorectal cancer,11,0.407
schizophrenia,11,0.279
mast-cell leukemia,11,0.471
diabetes mellitus,11,0.288
renal cell carcinoma,11,0.617
dengue disease,11,0.407
gastrointestinal stromal tumor,11,0.647
hypertrophic cardiomyopathy,10,0.511
ulcerative colitis,9,0.377
rheumatoid arthritis,9,0.392
chronic lymphocytic leukemia,9,0.434
prostate cancer,9,0.162
Noonan syndrome,9,0.64
obesity,9,0.235
essential hypertension,9,0.361
asthma,9,0.323
atrial fibrillation,9,0.427
hypothyroidism,9,0.345
multiple myeloma,9,0.281
medullary thyroid gland carcinoma,9,0.571
alcohol drinking,9,0.282
acute myeloid leukemia by FAB classification,8,0.37
melanoma,8,0.37
type 1 diabetes mellitus,8,0.246
glioma,8,0.121
smoking initiation,8,0.338
attention deficit hyperactivity disorder,8,0.161
coronary artery disease,8,0.338
colorectal carcinoma,8,0.081
ovarian neoplasm,8,0.252
gastric cancer,8,0.234
lymphoid leukemia,8,0.392
Neurodevelopmental disorder,7,0.396
Abruptio Placentae,7,0.221
prostate carcinoma,7,0.353
bipolar disorder,7,0.346
mathematical ability,7,0.348
breast carcinoma,7,0.565
systemic lupus erythematosus,7,0.452
gout,7,0.355
inflammatory bowel disease,7,0.287
glioblastoma multiforme,7,0.149
lung cancer,7,0.489
psoriasis,7,0.367
Global developmental delay,6,0.359
metastatic colorectal cancer,6,0.548
polycythemia vera,6,0.464
myelofibrosis,6,0.595
severe acute respiratory syndrome,6,0.32
Crohn's disease,6,0.305
cutaneous Leishmaniasis,6,0.481
open-angle glaucoma,6,0.432
triple-negative breast cancer,6,0.11
alopecia areata,6,0.472
lung adenocarcinoma,6,0.45
breast neoplasm,6,0.575
"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",6,0.424
cardiofaciocutaneous syndrome,6,0.612
Costello syndrome,6,0.504
microcephaly,5,0.303
ovarian cancer,5,0.305
major depressive disorder,5,0.374
colorectal neoplasm,5,0.419
"osteoarthritis, hip",5,0.341
sarcoma,5,0.452
response to xenobiotic stimulus,5,0.269
combined immunodeficiency,5,0.487
osteoarthritis,5,0.248
colorectal adenocarcinoma,5,0.479
"osteoarthritis, knee",5,0.39
idiopathic pulmonary fibrosis,5,0.379
intelligence,5,0.257
Retinal dystrophy,4,0.312
esophageal squamous cell carcinoma,4,0.092
ovarian carcinoma,4,0.28
Dupuytren Contracture,4,0.316
chronic obstructive pulmonary disease,4,0.24
Eczematoid dermatitis,4,0.427
liver disease,4,0.214
MODY,4,0.17
complex neurodevelopmental disorder,4,0.432
small cell lung carcinoma,4,0.415
rasopathy,4,0.56
atopic eczema,4,0.555
thyroid carcinoma,4,0.51
skin basal cell carcinoma,4,0.375
HIV infection,4,0.51
adolescent idiopathic scoliosis,4,0.256
tooth disease,4,0.134
Familial prostate cancer,4,0.337
glaucoma,4,0.436
metabolic disease,4,0.245
autism,4,0.306
primary myelofibrosis,4,0.574
Thrombocytopenia,3,0.31
follicular lymphoma,3,0.544
squamous cell lung carcinoma,3,0.329
breast adenocarcinoma,3,0.518
actinic keratosis,3,0.416
amyotrophic lateral sclerosis,3,0.532
Rare hemorrhagic disorder due to a constitutional platelet anomaly,3,0.473
Miyoshi myopathy,3,0.084
migraine disorder,3,0.245
bone disease,3,0.33
dementia,3,0.145
psoriatic arthritis,3,0.56
substance abuse,3,0.232
papillary thyroid carcinoma,3,0.169
hyperinsulinism due to INSR deficiency,3,0.29
thyroid cancer,3,0.412
lymphoma,3,0.356
diffuse large B-cell lymphoma,3,0.371
non-Hodgkins lymphoma,3,0.505
urinary bladder carcinoma,3,0.314
insomnia,3,0.299
autosomal dominant non-syndromic intellectual disability,3,0.392
hair color,3,0.425
heart failure,3,0.302
genetic developmental and epileptic encephalopathy,3,0.442
dilated cardiomyopathy,3,0.402
Seizure,3,0.433
cervical carcinoma,3,0.267
prostate adenocarcinoma,3,0.321
leukemia,3,0.301
nasopharyngeal carcinoma,3,0.132
allergic rhinitis,3,0.378
azoospermia,3,0.102
soft tissue sarcoma,3,0.523
neuroendocrine neoplasm,3,0.351
head and neck squamous cell carcinoma,3,0.282
sclerosing cholangitis,3,0.228
clear cell renal carcinoma,3,0.481
cutaneous melanoma,3,0.406
Hashimoto's thyroiditis,3,0.221
graft versus host disease,3,0.513
severe combined immunodeficiency,3,0.5
risk-taking behaviour,2,0.358
Ellis-van Creveld syndrome,2,0.37
lung carcinoma,2,0.413
Ellis Van Creveld syndrome,2,0.37
knee fracture,2,0.156
autoimmune disease,2,0.504
Abnormality of limbs,2,0.393
cardiomyopathy,2,0.31
thyroid disease,2,0.38
