MolecularWeight,LogP,TPSA,HBD,HBA,RotatableBonds,Suitability
415.83,3.47,94.83,1.0,6.0,6.0,0
409.42,4.79,40.54,1.0,3.0,6.0,0
558.52,0.9,159.65,4.0,8.0,7.0,1
280.41,1.21,31.54,0.0,4.0,5.0,0
627.94,3.14,86.71,2.0,3.0,3.0,1
110.12,-0.38,67.69,2.0,3.0,0.0,0
311.47,3.96,23.47,1.0,2.0,5.0,1
195.22,0.91,58.56,2.0,3.0,4.0,0
184.28,3.38,37.3,1.0,1.0,9.0,0
277.17,-0.18,150.31,5.0,5.0,5.0,1
73.14,0.74,26.02,1.0,1.0,0.0,0
258.18,-1.3,105.2,0.0,8.0,2.0,0
362.45,5.1,41.05,1.0,4.0,3.0,0
288.03,4.02,0.0,0.0,0.0,2.0,1
444.44,-0.35,181.62,6.0,9.0,2.0,1
339.48,3.36,59.22,1.0,3.0,8.0,1
404.35,4.96,45.15,2.0,3.0,3.0,0
325.41,1.53,68.36,3.0,3.0,3.0,0
162.19,1.07,47.61,1.0,3.0,1.0,1
348.38,-1.14,128.28,3.0,6.0,4.0,1
388.25,5.38,67.16,2.0,4.0,5.0,0
491.45,5.93,35.58,1.0,2.0,3.0,0
286.33,0.97,72.94,2.0,4.0,6.0,0
284.3,-1.27,113.52,4.0,9.0,2.0,0
351.49,4.06,29.54,0.0,3.0,7.0,0
316.4,2.66,59.59,2.0,3.0,4.0,0
790.0,2.75,199.98,4.0,15.0,9.0,1
238.16,0.07,118.05,1.0,6.0,3.0,1
431.36,1.75,64.6,0.0,10.0,6.0,0
444.44,-0.35,181.62,6.0,9.0,2.0,1
276.38,1.96,45.33,1.0,3.0,3.0,1
210.23,0.57,75.27,2.0,3.0,3.0,1
485.01,4.94,96.36,2.0,4.0,11.0,0
432.5,3.41,70.05,1.0,6.0,5.0,1
430.95,5.1,91.83,3.0,7.0,6.0,0
372.51,4.27,60.44,0.0,4.0,3.0,1
417.55,5.11,41.93,1.0,4.0,5.0,0
324.38,2.52,62.4,1.0,4.0,2.0,1
302.41,3.06,54.37,1.0,3.0,0.0,0
424.99,0.39,102.26,4.0,7.0,7.0,1
445.61,3.28,83.71,1.0,6.0,6.0,0
409.26,0.68,124.86,3.0,6.0,3.0,0
511.57,-0.87,190.81,3.0,14.0,8.0,1
458.58,3.39,94.39,0.0,7.0,9.0,0
250.3,0.45,67.43,2.0,3.0,6.0,1
188.27,2.12,35.82,1.0,2.0,5.0,1
679.86,2.45,179.56,4.0,8.0,13.0,1
388.38,2.13,124.84,1.0,8.0,6.0,0
356.42,4.37,60.36,1.0,2.0,4.0,1
309.45,4.19,23.47,1.0,2.0,6.0,1
444.44,-0.21,181.62,6.0,9.0,2.0,1
440.49,-0.94,156.09,2.0,12.0,7.0,0
406.49,3.12,100.42,3.0,6.0,7.0,0
375.49,2.59,66.64,1.0,4.0,7.0,0
264.37,2.62,41.57,1.0,4.0,8.0,1
269.3,2.48,84.22,3.0,3.0,3.0,0
267.24,-0.2,133.08,2.0,6.0,3.0,1
408.88,2.27,99.88,2.0,7.0,8.0,1
