SMILES,MolecularWeight,LogP,TPSA,HBD,HBA,RotatableBonds,Suitability
c1cncc([C@@H]2CCCN2)c1,148.21,1.51,24.92,1.0,2.0,1.0,0
O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,302.19,1.31,141.34,4.0,8.0,0.0,0
CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2,666.79,7.22,58.44,0.0,6.0,13.0,0
CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1,399.4,2.72,65.78,1.0,5.0,3.0,0
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,369.34,1.7,65.78,1.0,5.0,4.0,0
CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CC)c3c2F)C1,379.41,2.43,74.57,2.0,5.0,6.0,0
CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,334.35,0.76,77.81,2.0,6.0,3.0,0
COc1ccc2c(c1)[nH]c1c(C)nccc12,212.25,3.03,37.91,1.0,2.0,1.0,0
CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,523.46,7.13,12.47,0.0,2.0,8.0,0
CC(N)Cc1ccc2c(c1)OCO2,179.22,1.31,44.48,1.0,3.0,2.0,0
CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,323.44,2.91,39.34,1.0,2.0,3.0,0
CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CC/C=C\CCC(=O)OC,380.53,3.73,83.83,2.0,5.0,12.0,0
CC1c2ccccc2CN1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,365.84,2.21,92.5,2.0,4.0,3.0,0
